yGraph
Time (Seconds),y_Estimate (Meters),y_Real (Meters),Data (Meters)
12.200000,-0.171743,-0.221210,-0.171743
12.250000,-0.221210,-0.268806,-0.221210
12.300000,-0.268806,-0.313008,-0.268806
12.350000,-0.313008,-0.354469,-0.313008
12.400001,-0.354469,-0.392156,-0.354469
12.450000,-0.392156,-0.426250,-0.392156
12.500000,-0.426251,-0.456364,-0.426251
12.550000,-0.456365,-0.482350,-0.456365
12.600000,-0.482351,-0.503517,-0.482351
12.650001,-0.503517,-0.520211,-0.503517
12.700000,-0.520211,-0.532622,-0.520212
12.750000,-0.532622,-0.540381,-0.532622
12.800000,-0.540381,-0.543392,-0.540381
12.850000,-0.543392,-0.541607,-0.543392
12.900001,-0.541607,-0.536523,-0.541606
12.950000,-0.536522,-0.525783,-0.536522
13.000000,-0.525783,-0.512577,-0.525783
13.050000,-0.512577,-0.491980,-0.512577
13.100000,-0.491981,-0.467819,-0.491981
13.150001,-0.467819,-0.440475,-0.467819
13.200000,-0.440475,-0.410181,-0.440475
13.250000,-0.410181,-0.377234,-0.410181
13.300000,-0.377234,-0.341188,-0.377234
13.350000,-0.341188,-0.302323,-0.341188
13.400001,-0.302323,-0.261089,-0.302323
13.450000,-0.261090,-0.218038,-0.261090
13.500000,-0.218038,-0.172948,-0.218038
13.550000,-0.172948,-0.127203,-0.172948
13.600000,-0.127203,-0.080850,-0.127203
13.650001,-0.080850,-0.034044,-0.080850
13.700000,-0.034045,0.012404,-0.034045
13.750000,0.012404,0.058494,0.012404
13.800000,0.058494,0.103711,0.058494
13.850000,0.103711,0.147052,0.103711
13.900001,0.147052,0.188892,0.147052
13.950000,0.188892,0.228880,0.188892
14.000000,0.228880,0.266724,0.228881
14.050000,0.266724,0.301746,0.266724
14.100000,0.301746,0.333815,0.301746
14.150001,0.333815,0.362603,0.333815
14.200000,0.362603,0.387905,0.362603
14.250000,0.387905,0.409836,0.387905
14.300000,0.409836,0.428375,0.409836
14.350000,0.428375,0.443048,0.428375
14.400001,0.443048,0.453475,0.443048
14.450000,0.453475,0.460355,0.453475
14.500000,0.460355,0.463051,0.460355
14.550000,0.463051,0.462083,0.463051
14.600000,0.462083,0.457562,0.462083
14.650001,0.457563,0.448408,0.457563
14.700000,0.448408,0.433996,0.448408
14.750000,0.433996,0.417299,0.433996
14.800000,0.417299,0.397107,0.417299
14.850000,0.397106,0.374675,0.397106
14.900001,0.374675,0.349850,0.374675
14.950000,0.349850,0.321361,0.349850
15.000000,0.321361,0.291717,0.321361
15.050000,0.291716,0.258955,0.291716
15.100000,0.258955,0.223485,0.258955
15.150001,0.223485,0.186372,0.223485
15.200000,0.186372,0.147963,0.186371
15.250000,0.147963,0.108971,0.147962
15.300000,0.108972,0.069690,0.108971
15.350000,0.069690,0.029737,0.069690
15.400001,0.029738,-0.009782,0.029738
15.450000,-0.009782,-0.048946,-0.009781
15.500000,-0.048946,-0.086737,-0.048946
15.550000,-0.086737,-0.123884,-0.086737
15.600000,-0.123883,-0.159133,-0.123883
15.650001,-0.159133,-0.192634,-0.159133
15.700000,-0.192634,-0.224309,-0.192634
15.750000,-0.224309,-0.254147,-0.224309
15.800000,-0.254147,-0.281090,-0.254147
15.850000,-0.281091,-0.305988,-0.281091
15.900001,-0.305987,-0.327511,-0.305988
15.950000,-0.327512,-0.346086,-0.327511
16.000000,-0.346086,-0.360963,-0.346086
16.049999,-0.360963,-0.373184,-0.360963
16.099998,-0.373184,-0.380771,-0.373184
16.150000,-0.380771,-0.387585,-0.380771
16.199999,-0.387585,-0.390307,-0.387585
16.250000,-0.390307,-0.388395,-0.390307
16.299999,-0.388395,-0.384316,-0.388395
16.349998,-0.384316,-0.376215,-0.384316
16.400000,-0.376215,-0.366485,-0.376215
16.449999,-0.366485,-0.353370,-0.366485
16.500000,-0.353370,-0.336376,-0.353370
16.549999,-0.336376,-0.316653,-0.336376
16.599998,-0.316653,-0.294710,-0.316653
16.650000,-0.294710,-0.270439,-0.294710
16.699999,-0.270439,-0.243787,-0.270439
16.750000,-0.243787,-0.215441,-0.243787
16.799999,-0.215441,-0.185994,-0.215441
16.849998,-0.185994,-0.155358,-0.185994
16.900000,-0.155358,-0.123854,-0.155358
16.949999,-0.123854,-0.091408,-0.123854
17.000000,-0.091408,-0.058291,-0.091408
17.049999,-0.058291,-0.024695,-0.058291
17.099998,-0.024696,0.008938,-0.024696
17.150000,0.008938,0.041748,0.008938
17.199999,0.041748,0.073585,0.041748
17.250000,0.073585,0.104975,0.073585
